API,Count
chrome.tabs.setZoom, 11
chrome.runtime.onUninstalled, 11
chrome.privacy.websites, 11
chrome.power.requestKeepAwake, 11
chrome.i18n._getL10nData, 11
chrome.downloads.pause, 11
chrome.privacy.services, 10
chrome.i18n._setL10nData, 10
chrome.extension.setUpdateUrlData, 10
chrome.extension.onClicked, 10
chrome.downloads.resume, 10
chrome.downloads.getFileIcon, 10
chrome.downloads.acceptDanger, 10
chrome.system.memory, 9
chrome.system.display, 9
chrome.runtime.setUninstallUrl, 9
chrome.notifications.onShowSettings, 9
chrome.experimental.cookies, 9
chrome.webstore.install, 8
chrome.system.cpu, 8
chrome.runtime.getPackageDirectoryEntry, 8
chrome.power.releaseKeepAwake, 8
chrome.pageAction.getTitle, 8
chrome.i18n.strings, 8
chrome.extension.onConnectExternal, 8
chrome.contentSettings.cookies, 8
chrome.browserAction.show, 8
chrome.tabs.executeScriptInFrame, 7
chrome.tabs.captureAllTab, 7
chrome.settings.set, 7
chrome.settings.has, 7
chrome.settings.get, 7
chrome.sessions.onChanged, 7
chrome.sessions.getDevices, 7
chrome.runtime.lasterror, 7
chrome.fontSettings.getFontList, 7
chrome.extension.settings, 7
chrome.debugger.sendCommand, 7
chrome.debugger.onEvent, 7
chrome.contentSettings.images, 7
chrome.benchmarking.isSingleProcess, 7
chrome.benchmarking.enableSpdy, 7
chrome.benchmarking.counter, 7
chrome.benchmarking.closeConnections, 7
chrome.benchmarking.clearCache, 7
chrome.webNavigation.getFrame, 6
chrome.notifications.onPermissionLevelChanged, 6
chrome.gcm.send, 6
chrome.extension.value_, 6
chrome.extension.parseManifest, 6
chrome.downloads.drag, 6
chrome.declarativeWebRequest.onRequest, 6
chrome.debugger.attach, 6
chrome.cookies.getAllCookieStores, 6
chrome.bookmarks.onImportBegan, 6
chrome.appspot.com, 6
chrome.storage.set, 5
chrome.runtime.hasOwnProperty, 5
chrome.permissions.onRemoved, 5
chrome.i18n.getDefaultLocale, 5
chrome.extension.getVersion, 5
chrome.extension.getName, 5
chrome.extension.connectNative, 5
chrome.downloads.onErased, 5
chrome.declarativeWebRequest.RequestMatcher, 5
chrome.debugger.detach, 5
chrome.contentSettings.popups, 5
chrome.browserAction.hide, 5
chrome.widget.onRequest, 4
chrome.webRequest.MAX_HANDLER_BEHAVIOR_CHANGED_CALLS_PER_10_MINUTES, 4
chrome.ttsEngine.onStop, 4
chrome.ttsEngine.onSpeak, 4
chrome.tabs.onZoomChange, 4
chrome.system.storage, 4
chrome.settings.unset, 4
chrome.runtime.onRestartRequired, 4
chrome.pushMessaging.getChannelId, 4
chrome.manifest.name, 4
chrome.i18n.process, 4
chrome.i18n.originalGetMessage, 4
chrome.fileBrowserHandler.onExecute, 4
chrome.experimental.processes, 4
chrome.experimental.identity, 4
chrome.cubiez.com, 4
chrome.cast.requestSession, 4
chrome.cast.media, 4
chrome.cast.initialize, 4
chrome.cast.SessionRequest, 4
chrome.cast.ApiConfig, 4
chrome._tabInfo.notice, 4
chrome._tabInfo.info, 4
chrome._tabInfo.gatherFrameInfo, 4
chrome.worker.setJSONparse, 3
chrome.web.store, 3
chrome.tts.resume, 3
chrome.tts.pause, 3
chrome.tabs.getZoomSettings, 3
chrome.tabCapture.onStatusChanged, 3
chrome.syncFileSystem.onServiceStatusChanged, 3
chrome.syncFileSystem.onFileStatusChanged, 3
chrome.streamsPrivate.onExecuteMimeTypeHandler, 3
chrome.sessions.MAX_SESSION_RESULTS, 3
chrome.runtime.Port, 3
chrome.pushMessaging.onMessage, 3
chrome.management.createAppShortcut, 3
chrome.extension.getInfo, 3
chrome.extension.getExtensionTabs, 3
chrome.extension.getExtensionID, 3
chrome.experimental.proxy, 3
chrome.experimental.infobars, 3
chrome.devtools.tabId, 3
chrome.contentSettings.plugins, 3
chrome.cast.extensionId, 3
chrome.cast.ReceiverAvailability, 3
chrome.browsingData.settings, 3
chrome.window.update, 2
chrome.window.setTimeout, 2
chrome.window.clearTimeout, 2
chrome.window.Firebug, 2
chrome.tabs.tab, 2
chrome.tabs.setZoomSettings, 2
chrome.tabs.on, 2
chrome.tabs.isCurrent, 2
chrome.tabs.W, 2
chrome.systemIndicator.onClicked, 2
chrome.systemIndicator.enable, 2
chrome.systemIndicator.disable, 2
chrome.suggestions.onRequest, 2
chrome.signedInDevices.onDeviceInfoChange, 2
chrome.signedInDevices.get, 2
chrome.settings.getBranch, 2
chrome.sessionRestore.getRecentlyClosed, 2
chrome.selectedPanel.sidePanelBar, 2
chrome.selectedPanel.options, 2
chrome.runtine.id, 2
chrome.runtime.onRequest, 2
chrome.runtime.onDisconnect, 2
chrome.processes.getProcessIdForTab, 2
chrome.node.focus, 2
chrome.node.closed, 2
chrome.min.js, 2
chrome.message.initialize, 2
chrome.manifest.update_hit_url, 2
chrome.manifest.tuid, 2
chrome.manifest.tbid, 2
chrome.manifest.first_hit_url, 2
chrome.manifest.default_ui_url_twitter, 2
chrome.manifest.default_ui_url_craigslist, 2
chrome.manifest.default_ui_url, 2
chrome.manifest.daily_hit_url, 2
chrome.management.getPermissionWarningsById, 2
chrome.inspectButton.restore, 2
chrome.inspectButton.changeState, 2
chrome.input.ime, 2
chrome.infobars.show, 2
chrome.history.getMostVisitedSites, 2
chrome.fileSystem.chooseEntry, 2
chrome.extension.version_, 2
chrome.extension.onConnectlistener, 2
chrome.extension.hasOwnProperty, 2
chrome.experimental.rlz, 2
chrome.experimental.popup, 2
chrome.experimental.metrics, 2
chrome.experimental.extension, 2
chrome.experimental.contextMenu, 2
chrome.experimental.clipboard, 2
chrome.experimental.clear, 2
chrome.experimental.browsingData, 2
chrome.document.getElementById, 2
chrome.document.createTextNode, 2
chrome.declarativeWebRequest.SetRequestHeader, 2
chrome.declarativeWebRequest.RedirectByRegEx, 2
chrome.declarativeWebRequest.IgnoreRules, 2
chrome.debugger.onDetach, 2
chrome.contextMenus.ACTION_MENU_TOP_LEVEL_LIMIT, 2
chrome.contextMenu.create, 2
chrome.cast.Volume, 2
chrome.cast.SessionStatus, 2
chrome.c4s.extension, 2
chrome.browserAction.openPopup, 2
chrome.browserAction._setIcon, 2
chrome.app.isInstalled, 2
chrome.wpdotcom.single, 1
chrome.withmya.com, 1
chrome.windows.onUpdated, 1
chrome.windows.Window, 1
chrome.windows.Tab, 1
chrome.window.create, 1
chrome.win.js, 1
chrome.widget.onUpdated, 1
chrome.webstorePrivate.launchEphemeralApp, 1
chrome.webstorePrivate.getIsLauncherEnabled, 1
chrome.webstorePrivate.getEphemeralAppsEnabled, 1
chrome.webstorePrivate.getBrowserLogin, 1
chrome.webstorePrivate.completeInstall, 1
chrome.webstorePrivate.beginInstallWithManifest3, 1
chrome.webkit.safari, 1
chrome.webRequest.onComplete, 1
chrome.webRequest.ResourceType, 1
chrome.webNavigator.getAllFrames, 1
chrome.wallpaper.setWallpaper, 1
chrome.vpnsecure.me, 1
chrome.virtualKeyboardPrivate.sendKeyEvent, 1
chrome.validate_token.call, 1
chrome.utils.timeutils, 1
chrome.utils.stringutils, 1
chrome.utils.sidekickGates, 1
chrome.utils.sidekickApi, 1
chrome.utils.matchers, 1
chrome.utils.includes, 1
chrome.utils.http, 1
chrome.utils.console, 1
chrome.uk.cloudcall, 1
chrome.trustafact.com, 1
chrome.topSites.getAsync, 1
chrome.toolstrip.expand, 1
chrome.tomizzi.com, 1
chrome.toggle_off.call, 1
chrome.toggle_icon.call, 1
chrome.toggle_all.call, 1
chrome.todoist.com, 1
chrome.thepara.de, 1
chrome.tabs.zoom, 1
chrome.tabs.url, 1
chrome.tabs.submit, 1
chrome.tabs.set, 1
chrome.tabs.sendmessage, 1
chrome.tabs.select, 1
chrome.tabs.open, 1
chrome.tabs.onUpdate, 1
chrome.tabs.onSele, 1
chrome.tabs.onRemoved_, 1
chrome.tabs.onHighlightChanged, 1
chrome.tabs.onFocusChanged, 1
chrome.tabs.onCreate, 1
chrome.tabs.insertCss, 1
chrome.tabs.getUpdated, 1
chrome.tabs.getSelectedTab, 1
chrome.tabs.getInfo, 1
chrome.tabs.excuteScript, 1
chrome.tabs.customBlockerOnUpdateSet, 1
